,岗位ID,工作经历数量,工作职位,公司名称,专业,学校,学校层次,社会经历数量,职位名,组织名,项目数量,项目名称,技能数量,荣誉数量,期望职位,工作职位1,公司名称1,专业1,学校1,学校层次1,职位名1,组织名1,项目名称1
45,516,1,338,2171,1195,919,3,0,0,0,0,0,18,21,0,0,0,1294,445,3,0,0,0
46,418,0,0,0,400,986,3,0,0,0,1,8232,53,8,741,0,0,280,986,3,0,0,0
47,519,0,0,0,1,980,11,0,0,0,3,10017,15,13,0,0,0,1226,904,10,0,0,4130
48,516,1,1,1183,1204,709,12,0,0,0,4,301,9,6,0,0,0,1189,376,11,0,0,5554
49,331,0,0,0,1049,1148,12,0,0,0,3,6460,21,9,0,0,0,1049,1147,10,0,0,3118
50,519,1,1210,1486,1825,1182,8,0,0,0,3,10294,9,7,0,0,0,1,1182,8,0,0,8932
51,328,0,0,0,1195,980,11,0,0,0,2,12390,28,15,0,0,0,1275,637,10,0,0,9266
52,418,1,1,2290,1286,82,8,0,0,0,3,11427,5,0,0,0,0,923,212,9,0,0,1263
53,516,1,1241,1453,1289,212,9,0,0,0,2,5494,9,7,0,0,0,1217,1156,11,0,0,4347
54,326,2,1142,2374,246,847,9,0,0,0,2,3447,8,2,0,2494,4048,1203,847,9,0,0,11665
55,331,0,0,0,1055,441,10,0,0,0,1,9112,37,9,0,0,0,397,258,3,0,0,0
56,517,0,0,0,1195,1007,10,0,0,0,3,7465,36,16,294,0,0,1189,1186,3,0,0,4104
57,340,0,0,0,277,909,5,2,340,1422,3,1261,13,3,0,0,0,277,644,10,1,1419,10431
58,328,0,0,0,1275,847,9,0,0,0,2,6279,33,5,0,0,0,1275,847,9,0,0,4510
59,519,1,1986,3969,1,1182,8,0,0,0,3,9116,5,15,0,0,0,1297,408,10,0,0,501
60,519,1,373,1684,834,12,11,0,0,0,2,6807,0,10,0,0,0,1275,12,11,0,0,10612
61,328,0,0,0,1296,581,11,0,0,0,3,3370,25,9,0,0,0,1296,909,5,0,0,7220
62,516,3,241,4368,1,581,11,0,0,0,5,12314,19,4,66,241,145,1,510,10,0,0,11928
63,412,1,1907,1940,1205,510,10,1,137,1577,1,3420,15,6,255,0,0,1205,715,11,0,0,0
64,328,1,941,201,1296,909,5,0,0,0,2,9016,16,11,0,0,0,1296,680,10,0,0,11921
65,418,0,0,0,1297,630,11,0,0,0,3,7947,14,8,0,0,0,1227,866,10,0,0,6697
66,326,0,0,0,1195,12,11,4,481,94,6,5556,28,3,0,0,0,269,320,3,1,94,3400
67,517,3,1177,221,705,51,4,0,0,0,1,447,14,0,0,639,3240,0,0,0,0,0,0
68,347,2,1560,3852,1,510,10,1,1,2621,2,722,5,6,0,1926,219,1297,361,12,0,0,9492
69,342,0,0,0,1296,12,11,0,0,0,4,5749,10,9,0,0,0,1288,12,11,0,0,6355
70,340,3,1519,136,1,510,10,3,187,2515,2,3042,6,4,0,1519,2577,1,510,10,158,351,9286
71,412,3,1427,182,347,764,8,0,0,0,0,0,0,1,0,184,120,542,842,3,0,0,0
72,519,0,0,0,1518,655,11,1,151,1214,2,8187,31,15,0,0,0,0,0,0,0,0,1567
73,517,3,390,2380,596,482,9,0,0,0,1,3178,7,13,0,204,3388,1296,847,9,0,0,0
74,516,0,0,0,1876,941,12,0,0,0,4,10246,15,2,0,0,0,283,919,3,0,0,7167
75,406,1,2117,1456,1801,12,11,0,0,0,3,3449,20,0,196,0,0,0,0,0,0,0,451
76,412,2,174,2519,677,212,9,1,578,583,2,3617,16,6,0,174,2519,1248,212,9,0,0,2720
77,332,0,0,0,200,909,5,0,0,0,4,6349,21,6,0,0,0,762,171,10,0,0,3469
78,516,0,0,0,1784,970,11,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
79,412,0,0,0,1296,1163,10,2,1,756,1,7274,5,7,0,0,0,0,0,0,465,1630,0
80,418,0,0,0,1296,590,10,0,0,0,1,12016,32,1,223,0,0,1285,682,3,0,0,0
81,418,0,0,0,1275,400,11,0,0,0,2,5569,27,7,0,0,0,1270,400,11,0,0,4835
82,418,0,0,0,1296,445,3,0,0,0,8,4465,22,9,0,0,0,1296,439,3,0,0,2824
83,516,1,1,2611,1296,400,11,0,0,0,1,11096,11,6,0,0,0,1297,400,11,0,0,0
84,328,1,38,2374,1296,376,11,0,0,0,1,3694,13,7,614,0,0,0,0,0,0,0,0
85,519,0,0,0,1875,630,11,0,0,0,1,2407,3,20,0,0,0,1195,630,11,0,0,0
86,331,1,1,136,1195,510,10,0,0,0,1,78,28,7,0,0,0,1203,510,10,0,0,0
87,517,0,0,0,1296,1163,10,3,376,2439,2,4367,23,16,0,0,0,1293,1163,10,376,2436,9990
88,418,2,2117,2923,1673,794,12,0,0,0,8,8922,19,0,0,2094,1139,1297,581,11,0,0,10735
89,517,1,1519,4389,1572,85,8,0,0,0,5,2691,6,0,0,0,0,449,811,8,0,0,12760
90,516,2,1,2164,1195,382,10,0,0,0,2,7285,22,13,0,1203,2165,1275,710,3,0,0,3668
91,517,1,1203,2698,1195,382,10,2,211,835,3,7182,9,0,0,0,0,1285,382,10,606,832,4452
92,347,2,2396,4535,1,306,11,0,0,0,4,64,8,16,324,2468,1680,1451,306,11,0,0,9098
93,516,0,0,0,209,212,9,0,0,0,4,7373,8,9,67,0,0,1297,212,9,0,0,10774
94,342,1,1157,2001,1227,270,10,0,0,0,2,1236,20,0,0,0,0,0,0,0,0,0,1235
95,519,2,202,3737,1289,909,5,2,376,1958,4,8966,4,29,0,1210,3737,1205,1147,10,275,2375,2662
96,418,1,1982,3057,173,434,5,0,0,0,1,2465,20,13,0,0,0,1275,408,10,0,0,0
97,519,0,0,0,1275,970,11,0,0,0,0,0,4,18,0,0,0,1275,154,10,0,0,0
98,418,1,1029,3944,1205,581,11,0,0,0,3,7041,4,10,220,0,0,1296,383,12,0,0,6390
99,518,0,0,0,1296,909,5,0,0,0,3,3450,0,7,0,0,0,1296,302,12,0,0,11245
100,328,1,1,1456,1296,557,12,0,0,0,3,12284,21,7,0,0,0,1296,548,11,0,0,331
101,328,0,0,0,1195,376,11,2,27,2296,2,4506,13,9,602,0,0,1275,1147,10,554,2296,6333
102,430,1,1599,662,1005,464,12,1,1,1019,1,2392,11,7,0,0,0,384,433,10,0,0,0
103,406,0,0,0,1296,400,11,0,0,0,3,3423,0,4,0,0,0,1296,306,11,0,0,12805
104,418,0,0,0,1296,69,8,0,0,0,2,3080,14,5,722,0,0,1296,427,10,0,0,3739
105,418,0,0,0,1195,1163,10,0,0,0,1,3776,22,6,722,0,0,1294,1186,3,0,0,0
106,412,1,1203,3542,1969,1042,8,1,521,819,1,7579,11,0,0,0,0,387,376,11,0,0,0
107,517,0,0,0,1457,352,11,0,0,0,3,9531,11,4,0,0,0,1205,577,11,0,0,1531
108,518,1,2312,1751,1296,973,12,0,0,0,1,6774,15,11,0,0,0,1296,402,10,0,0,0
109,516,2,2312,1815,1,507,12,0,0,0,2,12846,15,3,0,2312,156,1,510,10,0,0,6702
110,517,0,0,0,1195,590,10,0,0,0,0,0,29,2,650,0,0,1265,590,10,0,0,0
111,519,1,249,1456,1814,406,3,1,657,559,3,10606,13,6,176,0,0,907,212,9,0,0,10607
112,331,1,925,167,1296,377,12,0,0,0,2,6467,29,0,0,0,0,0,0,0,0,0,6475
113,328,0,0,0,1649,365,11,0,0,0,3,6065,28,8,602,0,0,1205,440,3,0,0,6139
114,518,0,0,0,497,447,10,0,0,0,4,8558,12,14,0,0,0,1275,642,3,0,0,352
115,417,5,285,4455,450,1123,12,1,559,2050,1,3916,7,15,0,1577,4273,1132,969,10,0,0,0
116,516,0,0,0,136,471,11,0,0,0,3,7650,4,0,0,0,0,1297,471,11,0,0,1907
117,418,0,0,0,1205,1163,10,0,0,0,3,3672,25,16,722,0,0,0,0,0,0,0,218
118,518,0,0,0,1139,212,9,0,0,0,4,5455,15,0,181,0,0,1275,145,3,0,0,3938
119,516,2,925,1855,1297,943,12,0,0,0,2,10559,0,1,0,909,1827,1296,491,10,0,0,12535
120,328,0,0,0,1297,909,5,0,0,0,5,3277,4,13,0,0,0,1296,182,3,0,0,8787
121,519,1,1,1684,248,327,9,0,0,0,1,280,6,0,645,0,0,1205,894,11,0,0,0
122,519,0,0,0,1192,471,11,0,0,0,4,9567,4,12,0,0,0,1195,471,11,0,0,4964
123,328,0,0,0,1195,1179,3,0,0,0,2,3104,39,0,610,0,0,1,1193,10,0,0,3532
124,430,2,2035,201,1,680,10,4,424,2577,0,0,8,15,0,772,2073,386,680,10,280,1235,0
125,516,2,1640,3350,333,915,12,1,1,1737,2,10953,8,20,0,1,2919,280,644,10,0,0,825
126,518,2,1,3777,1297,212,9,0,0,0,3,1791,3,5,0,1,1328,1297,306,11,0,0,4140
127,418,1,1460,4141,1476,1163,10,0,0,0,2,2769,12,7,724,0,0,1236,1163,10,0,0,10446
128,427,3,1267,2264,1917,1091,10,3,36,2326,0,0,5,5,0,2043,1239,0,0,0,330,2325,0
129,517,0,0,0,1275,847,9,1,130,1006,3,6166,24,8,0,0,0,1265,447,10,0,0,5063
130,328,0,0,0,728,447,10,0,0,0,3,6048,22,3,0,0,0,1227,433,10,0,0,6249
131,517,1,1203,147,1296,958,11,2,123,2022,1,5795,14,8,0,0,0,458,680,10,1,2579,0
132,517,2,1,2498,1,909,5,0,0,0,2,11232,8,7,0,337,3352,1200,680,10,0,0,3823
133,340,0,0,0,288,441,10,0,0,0,6,6476,4,3,0,0,0,1055,441,10,0,0,6663
134,427,2,196,3535,1,394,10,3,1,304,0,0,5,1,0,1266,2328,351,680,10,1,752,0
135,519,1,2266,1507,1195,212,9,0,0,0,3,5772,13,16,67,0,0,1275,433,10,0,0,5656
136,517,0,0,0,1457,1007,10,0,0,0,1,9997,23,4,0,0,0,1195,251,3,0,0,0
137,328,0,0,0,1297,1163,10,0,0,0,3,11055,13,10,0,0,0,288,680,10,0,0,7108
138,516,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0
139,418,0,0,0,24,604,11,0,0,0,3,914,27,0,57,0,0,0,0,0,0,0,12312
140,331,0,0,0,272,1156,11,3,172,905,2,2215,47,4,191,0,0,1227,251,3,172,1507,7929
141,430,4,1794,3325,326,493,11,2,497,1034,0,0,3,15,368,1203,1731,1759,474,10,486,1033,0
142,335,0,0,0,660,177,11,0,0,0,2,8114,24,18,0,0,0,1236,189,12,0,0,10453
143,328,0,0,0,1476,1156,11,0,0,0,4,13054,19,8,0,0,0,1195,991,10,0,0,11490
144,332,1,1,3674,248,948,11,1,1,1526,2,3335,39,2,293,0,0,1194,715,11,0,0,11505
145,418,1,1194,4484,1226,604,11,0,0,0,3,8081,29,11,0,0,0,1224,394,10,0,0,3070
146,328,0,0,0,1297,12,11,0,0,0,4,6548,8,5,0,0,0,1,105,12,0,0,146
147,326,1,2255,2609,1,919,3,0,0,0,1,9923,17,2,0,0,0,1296,581,11,0,0,0
148,340,4,474,935,311,799,12,1,749,437,3,11328,5,6,0,1540,2409,279,669,7,0,0,12677
149,518,2,241,1815,1688,327,9,0,0,0,4,8620,7,1,0,2189,3277,1688,327,9,0,0,8605
150,519,1,1210,3737,1296,577,11,0,0,0,3,5816,0,0,0,0,0,1296,577,11,0,0,7606
151,328,0,0,0,248,1147,10,0,0,0,3,6057,10,22,0,0,0,1195,683,3,0,0,5372
152,418,4,1696,1085,1296,909,5,0,0,0,2,6709,22,5,223,240,2323,1297,670,10,0,0,5681
153,418,0,0,0,1297,1182,8,0,0,0,1,6870,18,8,722,0,0,1297,644,10,0,0,0
154,517,0,0,0,751,1156,11,0,0,0,3,2112,47,19,645,0,0,1227,1031,3,0,0,10854
155,418,1,2117,1456,1477,69,8,2,734,20,3,796,24,9,722,0,0,1364,365,11,75,804,5883
156,328,1,2487,4411,1296,177,11,0,0,0,2,9114,10,6,0,0,0,1263,177,11,0,0,1597
157,342,1,1594,1416,1033,577,11,1,390,1187,3,7137,19,20,167,0,0,1543,577,11,0,0,1855
158,328,1,74,1014,1195,1187,12,0,0,0,2,145,43,6,0,0,0,1195,1163,10,0,0,4013
159,516,3,202,3723,1,655,11,0,0,0,1,1300,11,15,0,1203,136,1296,26,10,0,0,0
160,519,0,0,0,1539,498,10,0,0,0,2,11332,17,12,0,0,0,1275,1005,3,0,0,172
161,328,0,0,0,1205,1163,10,0,0,0,2,6819,24,5,614,0,0,1205,408,10,0,0,1411
162,516,1,1828,3205,1296,498,10,0,0,0,2,10911,2,2,67,0,0,1296,498,10,0,0,8432
163,328,0,0,0,248,1163,10,0,0,0,2,9968,8,5,0,0,0,1195,72,8,0,0,8827
164,328,0,0,0,1192,1156,11,1,1,2079,4,7739,22,7,0,0,0,1244,1156,11,0,0,990
165,417,3,667,2277,458,840,10,0,0,0,0,0,8,6,0,1730,39,1074,840,10,0,0,0
166,516,2,1,2374,1457,400,11,0,0,0,4,1982,23,15,532,1,891,1205,858,3,0,0,12977
167,517,2,1975,219,834,680,10,0,0,0,2,10799,0,10,0,1639,3271,1694,340,3,0,0,10503
168,328,0,0,0,751,630,11,0,0,0,3,12326,26,6,0,0,0,1225,279,3,0,0,8060
169,328,0,0,0,1225,590,10,0,0,0,2,3995,22,15,0,0,0,1227,683,3,0,0,6286
170,418,0,0,0,1297,72,8,0,0,0,2,11048,16,9,722,0,0,1226,173,3,0,0,6903
171,340,3,183,119,1145,572,8,0,0,0,2,10651,12,1,0,1540,2183,1382,1027,8,0,0,2595
172,516,1,241,2424,210,548,11,0,0,0,2,9384,5,6,681,0,0,1296,548,11,0,0,4346
173,344,3,1569,136,628,423,8,2,278,2045,2,9092,4,0,0,1705,4322,1491,968,8,278,2281,1989
174,418,0,0,0,484,427,10,0,0,0,2,6948,33,7,716,0,0,1682,427,10,0,0,10779
175,328,0,0,0,1,847,9,1,489,1787,1,6250,25,13,0,0,0,1284,847,9,0,0,0
176,418,1,907,219,1802,686,3,2,162,1631,4,11163,54,4,760,0,0,1,686,3,162,1495,11160
177,418,0,0,0,1518,655,11,0,0,0,2,2508,25,12,722,0,0,1792,655,11,0,0,395
178,328,1,1720,1492,1296,604,11,0,0,0,5,12481,13,7,0,0,0,1203,954,10,0,0,5229
179,516,1,150,4376,1296,434,5,0,0,0,2,6662,18,16,67,0,0,1189,427,10,0,0,8476
180,328,1,1521,33,1980,746,12,5,831,1638,7,12589,58,4,0,0,0,1296,970,11,824,1638,11365
181,412,5,1093,57,27,116,3,1,462,2195,0,0,21,8,275,83,2091,0,0,0,0,0,0
182,519,2,241,767,1195,212,9,0,0,0,4,5708,6,6,0,2205,719,1275,966,3,0,0,4108
183,418,0,0,0,1545,1163,10,0,0,0,3,1041,19,17,733,0,0,1205,203,3,0,0,4326
184,519,0,0,0,1,655,11,0,0,0,3,3057,9,10,67,0,0,1218,474,10,0,0,3056
185,412,4,841,133,381,391,8,0,0,0,1,1072,9,4,0,2030,3069,458,896,10,0,0,0
186,517,2,1210,3750,1936,327,9,0,0,0,1,972,0,7,0,1210,1981,1936,327,9,0,0,0
187,418,1,2113,1728,1297,482,9,0,0,0,2,3660,0,4,704,0,0,1183,970,11,0,0,6375
188,418,0,0,0,1296,655,11,0,0,0,2,12513,13,16,0,0,0,1296,866,10,0,0,3795
189,328,0,0,0,1195,547,10,0,0,0,4,12166,30,8,0,0,0,1205,547,10,0,0,6169
190,518,0,0,0,123,847,9,0,0,0,2,10829,6,10,0,0,0,1195,581,11,0,0,4661
191,519,1,249,2717,1296,909,5,0,0,0,2,7007,5,0,0,0,0,1275,909,5,0,0,1456
192,328,0,0,0,1195,69,8,0,0,0,2,6348,6,0,0,0,0,1296,402,10,0,0,6066
193,328,0,0,0,1192,1163,10,0,0,0,4,4128,25,10,602,0,0,1205,1186,3,0,0,6285
194,519,3,1203,1080,1297,630,11,0,0,0,5,3893,0,12,0,1263,1794,1297,630,11,0,0,7106
195,519,0,0,0,1285,1147,10,0,0,0,5,10596,11,16,0,0,0,0,0,0,0,0,9001
196,418,0,0,0,1297,171,10,0,0,0,1,10882,32,4,722,0,0,1271,258,3,0,0,0
197,519,0,0,0,155,919,3,0,0,0,2,2768,1,3,0,0,0,1443,510,10,0,0,9438
198,516,4,1,3846,834,516,12,0,0,0,3,7248,17,14,0,241,1276,834,514,11,0,0,9592
199,331,1,924,3313,1697,980,11,0,0,0,1,3681,25,7,191,0,0,1265,715,11,0,0,0
200,418,0,0,0,1476,69,8,0,0,0,1,9751,5,2,0,0,0,1205,427,10,0,0,0
201,342,0,0,0,1296,655,11,0,0,0,2,764,28,9,0,0,0,1296,655,11,0,0,5878
202,517,0,0,0,1297,1091,10,3,297,2331,3,1672,33,20,0,0,0,1297,287,3,395,676,1893
203,516,1,1,3500,834,365,11,0,0,0,0,0,10,7,0,0,0,1275,365,11,0,0,0
204,430,3,1,1419,1584,367,12,4,306,777,0,0,0,15,379,1,1409,885,365,11,185,805,0
205,328,2,1366,852,1232,171,10,0,0,0,1,2450,43,7,625,1,3238,1232,251,3,0,0,0
206,328,0,0,0,1326,427,10,0,0,0,3,1927,23,8,614,0,0,1205,427,10,0,0,4898
207,517,1,1,1136,1784,12,11,0,0,0,5,8172,2,15,0,0,0,1416,630,11,0,0,6989
208,328,0,0,0,266,680,10,0,0,0,1,6799,3,1,0,0,0,1195,193,3,0,0,0
209,516,0,0,0,1296,1091,10,0,0,0,5,5300,9,17,681,0,0,1297,455,3,0,0,5000
210,517,0,0,0,1225,1007,10,0,0,0,3,2425,22,7,0,0,0,1226,1007,10,0,0,4933
211,412,1,771,2790,900,757,3,2,1,297,0,0,14,3,0,0,0,874,760,3,353,2541,0
212,518,1,260,1981,1457,510,10,0,0,0,1,3609,25,0,67,0,0,1457,510,10,0,0,0
213,331,0,0,0,1195,171,10,0,0,0,3,2573,28,8,532,0,0,1195,171,10,0,0,10819
214,332,1,2013,4129,701,518,12,0,0,0,5,8728,22,9,0,0,0,701,514,11,0,0,4969
215,412,1,1369,1306,1342,894,11,1,1,1911,0,0,3,0,208,0,0,1340,894,11,0,0,0
216,519,0,0,0,1297,630,11,0,0,0,1,4877,5,10,67,0,0,1297,630,11,0,0,0
217,328,0,0,0,1195,680,10,4,13,1462,3,12028,8,11,614,0,0,1205,300,3,13,690,11547
218,406,0,0,0,1784,715,11,0,0,0,1,20,22,0,0,0,0,1784,715,11,0,0,0
219,418,0,0,0,1862,847,9,0,0,0,4,12537,0,0,630,0,0,1254,177,11,0,0,9971
220,516,0,0,0,155,327,9,0,0,0,3,10645,5,7,0,0,0,108,666,10,0,0,8946
221,518,3,645,4226,1979,624,9,1,1,2067,0,0,20,7,0,519,4055,1,970,11,0,0,0
222,430,2,1628,1815,380,909,5,2,13,2390,2,7791,0,19,0,1627,2155,384,1149,10,130,2384,2442
223,517,1,529,1674,1297,1182,8,0,0,0,3,6954,7,7,0,0,0,1296,872,3,0,0,4657
224,519,0,0,0,1,1163,10,0,0,0,3,2692,6,4,473,0,0,279,1182,8,0,0,7014
225,328,1,2200,104,1297,40,10,0,0,0,2,3751,39,4,598,0,0,0,0,0,0,0,6326
226,328,0,0,0,1887,1207,12,2,172,403,3,5445,7,6,614,0,0,1926,1207,12,172,2222,6786
227,518,2,448,1779,1296,474,10,3,500,11,2,10098,18,14,0,1815,3277,1296,474,10,172,184,2002
228,516,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
229,517,2,2055,2374,331,853,12,1,420,1796,3,4292,0,19,0,2055,2717,331,847,9,0,0,9106
230,328,0,0,0,1811,306,11,0,0,0,1,5712,10,3,0,0,0,0,0,0,0,0,0
231,328,0,0,0,1296,590,10,0,0,0,1,4298,56,2,532,0,0,279,590,10,0,0,0
232,519,2,241,4352,1457,909,5,0,0,0,0,0,7,13,0,241,836,1195,547,10,0,0,0
233,328,0,0,0,1,498,10,0,0,0,6,11999,6,0,0,0,0,0,0,0,0,0,11872
234,418,0,0,0,918,1163,10,0,0,0,2,493,46,5,0,0,0,1205,268,3,0,0,6383
235,418,0,0,0,1297,900,10,0,0,0,2,6383,32,0,220,0,0,0,0,0,0,0,8279
236,418,1,314,297,1296,630,11,0,0,0,2,2375,12,7,722,0,0,1214,270,10,0,0,11776
237,519,1,1018,1699,1476,498,10,0,0,0,3,2038,30,10,0,0,0,1269,171,10,0,0,5244
238,342,1,560,3858,1936,69,8,0,0,0,3,3096,8,21,121,0,0,1936,256,3,0,0,1782
239,324,1,373,1773,1296,1163,10,0,0,0,6,11539,6,7,0,0,0,1297,1163,10,0,0,4113
240,342,0,0,0,277,12,11,0,0,0,1,7532,14,6,140,0,0,278,976,3,0,0,0
241,418,0,0,0,1289,69,8,0,0,0,2,2317,5,9,532,0,0,1205,103,3,0,0,11228
242,430,3,1825,297,380,666,10,2,366,1310,2,9295,7,8,0,2429,2374,1168,666,10,442,773,3326
243,418,0,0,0,1275,12,11,0,0,0,4,13078,18,10,722,0,0,1275,1141,3,0,0,3425
244,517,3,1,2597,1763,940,12,0,0,0,7,4246,19,14,0,1,1453,1763,715,11,0,0,980
245,418,0,0,0,1297,427,10,0,0,0,6,382,0,4,722,0,0,1296,427,10,0,0,3389
246,412,3,1,246,1161,1040,8,1,1,685,1,9275,13,0,0,1,582,358,88,8,0,0,0
247,418,0,0,0,259,954,10,0,0,0,2,6854,60,0,732,0,0,1195,186,3,0,0,601
248,328,1,1,1382,1297,212,9,0,0,0,2,3787,23,0,0,0,0,279,860,10,0,0,3770
249,516,1,1803,1765,1138,20,12,0,0,0,5,7717,49,0,0,0,0,1296,680,10,0,0,8270
250,519,0,0,0,1296,327,9,0,0,0,3,3392,3,5,0,0,0,1296,425,11,0,0,4849
251,418,0,0,0,1195,948,11,0,0,0,2,11367,50,9,0,0,0,1205,638,3,0,0,677
252,418,2,1034,1040,209,154,10,0,0,0,1,3834,21,8,0,2352,2777,1199,750,3,0,0,0
253,340,4,987,3054,1997,796,8,2,230,610,0,0,6,1,0,1,1017,548,177,11,119,2251,0
254,516,1,249,1981,123,514,11,1,734,2627,0,0,12,8,0,0,0,1205,991,10,0,0,0
255,324,1,1203,4082,889,577,11,0,0,0,4,5901,25,8,0,0,0,1232,581,11,0,0,10880
256,331,0,0,0,1296,145,3,0,0,0,2,1207,38,2,0,0,0,1296,986,3,0,0,2727
257,518,1,1704,3457,1296,306,11,0,0,0,2,4630,21,5,645,0,0,1297,657,3,0,0,8049
258,516,0,0,0,1741,1155,12,0,0,0,4,7404,28,10,0,0,0,1741,1156,11,0,0,10853
259,418,0,0,0,1275,276,10,0,0,0,2,11139,9,19,0,0,0,1275,431,3,0,0,8046
260,342,0,0,0,1296,177,11,0,0,0,2,6861,21,11,0,0,0,1296,177,11,0,0,386
261,519,0,0,0,173,212,9,0,0,0,2,362,9,11,0,0,0,1275,382,10,0,0,6962
262,516,0,0,0,1457,498,10,0,0,0,3,1534,42,18,0,0,0,1203,489,3,0,0,8581
