岗位ID,工作经历数量,工作职位,公司名称,专业,学校,学校层次,社会经历数量,职位名,组织名,项目数量,项目名称,技能数量,荣誉数量,期望职位
328,0,[],[],[1357 1357],[670 1046],[13 12 20 13 11],0,[],[],3,[4752 10161 11159],25,9,[]
516,3,[287 287 1287],[5385 188 4786],[0 0],[670 587],[13 12 24],0,[],[],5,[17280 16731 684 399 3896],19,4,[66]
412,1,[2363],[2386],[1265 1265],[587 822],[12 26 11],1,[164],[1866],1,[4821],15,6,[259]
328,1,[1163],[275],[1357 1357],[1046 784],[5 13 12 24],0,[],[],2,[12629 16717],16,11,[]
418,0,[],[],[1358 1288],[726 992],[13 12 24],0,[],[],3,[11188 9411 9678],14,8,[]
326,0,[],[],[1255 282],[21 367],[13 12 18],4,[555 0 826 826],[110 110 110 109],6,[7817 4797 16180 15567 16315 16293],28,3,[]
517,3,[1461 783 2836],[268 3973 1441],[741],[58],[5 6],0,[],[],1,[606],14,0,[]
347,2,[1938 2383],[4751 267],[0 1358 1518],[587 416 587],[12 27 24],1,[0],[3082],2,[1007 13316],5,6,[]
342,0,[],[],[1357 1349],[21 21],[13 12 26 11],0,[],[],4,[8105 8948 8428 560],10,9,[]
340,3,[1901 1901 1901],[226 3170 620],[0 0],[587 587],[12 24],3,[225 192 92],[2955 421 2634],2,[4283 13016],6,4,[]
412,3,[1775 220 1921],[228 156 584],[362 571],[884 968],[7 18],0,[],[],0,[],0,1,[]
519,0,[],[],[1596],[750],[13 11],1,[183],[1429],2,[11506 2211],31,15,[]
517,3,[468 245 1678],[2940 4135 3758],[625 1357],[559 978],[8 5 13 12 23 5 13 11],0,[],[],1,[4476],7,13,[]
516,0,[],[],[1990 298],[1074 1063],[0 18],0,[],[],4,[14355 10093 6003 14356],15,2,[]
406,1,[2613],[1821],[1907],[21],[13 11],0,[],[],3,[4858 612 17807],20,0,[198]
412,2,[206 206],[3089 3089],[714 1309],[250 250],[8 5 13 12 23 5 13 11],1,[666],[688],2,[5100 3811],16,6,[]
332,0,[],[],[212 799],[1046 203],[5 13 12 24],0,[],[],4,[8940 4886 446 3655],21,6,[]
516,0,[],[],[1890],[1109],[13 11],0,[],[],0,[],4,3,[]
412,0,[],[],[1357],[1321],[11],2,[0 539],[897 1932],1,[10246],5,7,[]
418,0,[],[],[1357 1346],[679 785],[12 18],0,[],[],1,[16850],32,1,[232]
418,0,[],[],[1336 1331],[465 465],[13 12 26 11],0,[],[],2,[7842 6800],27,7,[]
418,0,[],[],[1357 1357],[514 505],[4 18],0,[],[],8,[6274 3961 6143 3962 10718 16873 12682 3254],22,9,[]
516,1,[0],[3204],[1357 1358],[465 465],[13 12 26 11],0,[],[],1,[15519],11,6,[]
328,1,[39],[3070],[1357],[439],[13 11],0,[],[],1,[5210],13,7,[624]
519,0,[],[],[1986 1255],[726 726],[13 12 26 11],0,[],[],1,[3396],3,20,[]
331,1,[0],[226],[1255 1263],[587 587],[12 24],0,[],[],1,[105],28,7,[]
517,0,[],[],[1357 1354],[1321 1321],[12 24],3,[449 449 0],[2870 2867 2873],2,[6134 14003],23,16,[]
418,2,[2613 2589],[3590 1380],[1768 1358],[915 670],[0 26 11],0,[],[],8,[12496 15022 9618 12306 9908 655 15123 18238],19,0,[]
517,1,[1901],[5412],[1657 472 472],[101 934 934],[7 22 21],0,[],[],5,[3777 17881 1767 17521 11987],6,0,[]
516,2,[0 1491],[2666 2665],[1255 1336 0],[445 815 445],[12 19 24],0,[],[],2,[10258 5167],22,13,[]
517,1,[1491],[3306],[1255 1346],[445 445],[12 24],2,[251 709],[997 993],3,[10114 6254 7905],9,0,[]
347,2,[2911 3003],[5583 2078],[0 1525],[352 352],[13 12 26 11],0,[],[],4,[88 12763 16814 900],8,16,[331]
516,0,[],[],[219 1358],[250 250],[8 5 13 12 23 5 13 11],0,[],[],4,[10376 15076 1087 10875],8,9,[88]
342,1,[1436],[2466],[1288],[314],[11],0,[],[],2,[1731 1730],20,0,[]
519,2,[243 1497],[4605 4605],[1350 1265],[1046 1301],[5 13 12 24],2,[449 333],[2319 2799],4,[12560 3736 10465 7435],4,29,[]
418,1,[2446],[3753],[183 1336],[503 475],[5 13 12 24],0,[],[],1,[3472],20,13,[]
519,0,[],[],[1336 1336],[1109 184],[13 12 24],0,[],[],0,[],4,18,[]
418,1,[1287],[4859],[1265 1357],[670 443],[13 12 14],0,[],[],3,[9910 8997 16643],4,10,[244]
518,0,[],[],[1357 1357],[1046 349],[5 13 12 14],0,[],[],3,[4859 15741 3940],0,7,[]
328,1,[0],[1821],[1357 1357 1357],[643 638 638],[0 26 12 26 11],0,[],[],3,[17239 473 6386],21,7,[]
328,0,[],[],[1255 1336],[439 1301],[13 12 24],2,[31 639],[2698 2698],2,[6331 8916],13,9,[610]
430,1,[1985],[809],[1055 401],[533 499],[0 24],1,[0],[1205],1,[3372],11,7,[]
406,0,[],[],[1357 1357],[465 352],[13 12 26 11],0,[],[],3,[4825 17946 7277],0,4,[]
418,0,[],[],[1357 1357],[80 495],[7 24],0,[],[],2,[4341 5268],14,5,[737]
418,0,[],[],[1255 1355],[1321 1344],[12 18],0,[],[],1,[5319],22,6,[737]
412,1,[1491],[4347],[2088 405],[1190 439],[7 26 11],1,[601],[973],1,[10662],11,0,[]
517,0,[],[],[1538 1265],[403 666],[13 12 26 11],0,[],[],3,[13374 2158 5516],11,4,[]
518,1,[2819],[2160],[1357 1357 294],[1110 467 447],[0 25 18],0,[],[],1,[9532],15,11,[]
516,2,[2819 2819],[2241 200],[0 0 1265],[583 587 1023],[0 25 18],0,[],[],2,[18004 9416],15,3,[]
517,0,[],[],[1255 1326],[679 679],[12 24],0,[],[],0,[],29,2,[657]
519,1,[308],[1821],[1922 954],[472 250],[4 23 5 13 11],1,[758],[660],3,[14847 14848 14210],13,6,[178]
331,1,[1136],[212],[1357],[436],[0],0,[],[],2,[9099 9108],29,0,[]
328,0,[],[],[1743 1265],[427 506],[13 12 18],0,[],[],3,[8553 8658 8883],28,8,[610]
518,0,[],[],[522 1336],[518 735],[12 18],0,[],[],4,[12007 503 843 14443],12,14,[]
417,5,[337 1960 1953 1228 0],[5487 5255 1582 833 241],[473 1186],[1275 1106],[0 24],1,[645],[2404],1,[5526],7,15,[]
516,0,[],[],[142 1358],[542 542],[13 12 26 11],0,[],[],3,[10766 2674 8200],4,0,[]
418,0,[],[],[1265],[1321],[11],0,[],[],3,[5173 307 2639],25,16,[737]
518,0,[],[],[1196 1336],[250 171],[8 5 13 12 18],0,[],[],4,[7667 5559 7668 6789],15,0,[184]
516,2,[1136 1123],[2290 2254],[1358 1357 1357],[1075 563 567],[0 25 14],0,[],[],2,[14782 17579],0,1,[]
328,0,[],[],[1358 1357],[1046 214],[5 13 12 18],0,[],[],5,[4628 12312 16827 11042 17277],4,13,[]
519,1,[0],[2080],[263 1265],[382 1025],[8 5 13 12 26 11],0,[],[],1,[403],6,0,[665]
519,0,[],[],[1252 1255],[542 542],[13 12 26 11],0,[],[],4,[13424 6979 6219 8300],4,12,[]
328,0,[],[],[1255 0],[1336 1352],[4 24],0,[],[],2,[4374 4984],39,0,[630]
430,2,[2508 950],[275 2557],[0 403 0],[784 784 784],[12 25 24],4,[494 339 177 0],[3025 1454 1335 3057],0,[],8,15,[]
516,2,[2029 0],[4095 3577],[348 294],[1077 737],[0 24],1,[0],[2052],2,[15328 1144],8,20,[]
518,2,[0 0],[4635 1622],[1358 1358],[250 352],[8 5 13 12 26 11],0,[],[],3,[2525 5828 7264],3,5,[]
418,1,[1819],[5098],[1551 1297],[1321 1321],[12 24],0,[],[],2,[3872 14625],12,7,[733]
427,3,[1571 2515 1575],[2792 1514 1463],[2031],[1245],[11],3,[41 393 451],[2732 2731 2732],0,[],5,5,[]
517,0,[],[],[1336 1326],[978 518],[8 5 13 12 24],1,[156],[1192],3,[8709 7115 4316],24,8,[]
328,0,[],[],[765 1288],[518 499],[12 24],0,[],[],3,[8531 8819 279],22,3,[]
517,1,[1491],[191],[1357 481 1357],[1095 784 784],[13 12 25 24],2,[150 0],[2374 3027],1,[8172],14,8,[]
517,2,[0 403],[3059 4096],[0 1260],[1046 784],[5 13 12 24],0,[],[],2,[15720 5394],8,7,[]
340,0,[],[],[302 1110],[509 509],[12 24],0,[],[],6,[9109 9361 15671 947 5761 8712],4,3,[]
427,2,[235 1570],[4339 2872],[0 367],[457 784],[12 24],3,[0 0 0],[364 892 424],0,[],5,1,[]
519,1,[2778],[1859],[1255 1336],[250 499],[8 5 13 12 24],0,[],[],3,[8137 7966 18236],13,16,[88]
517,0,[],[],[1538 1255 1538],[1149 295 1149],[12 19 24],0,[],[],1,[14012],23,4,[]
328,0,[],[],[1358 302],[1321 784],[12 24],0,[],[],3,[15461 10013 17363],13,10,[]
516,0,[],[],[],[],[],0,[],[],0,[],0,0,[661 657 659 664]
418,0,[],[],[24],[696],[13 11],0,[],[],3,[1275 17278 1274],27,0,[54]
331,0,[],[],[285 1288],[1314 295],[13 12 18],3,[211 211 458],[1085 1789 750],2,[3108 11166],47,4,[207]
430,4,[2235 1491 1491 1653],[4069 2137 2281 2045],[342 1863 1862 1862],[569 544 569 1081],[13 12 25 26 12 26 11],2,[572 561],[1221 1220],0,[],3,15,[393]
335,0,[],[],[696 1297 1297],[213 222 213],[13 12 27 26 11],0,[],[],2,[11408 14634],24,18,[]
328,0,[],[],[1551 1255],[1314 1130],[13 12 24],0,[],[],4,[18317 16079 11280 8415],19,8,[]
332,1,[0],[4519],[263 1254],[1081 822],[13 12 26 11],1,[0],[1810],2,[4707 16101],39,2,[300]
418,1,[1480],[5522],[1287 1285],[696 457],[13 12 24],0,[],[],3,[11359 4325 16795],29,11,[]
328,0,[],[],[1358 0 1358],[21 122 21],[13 12 27 26 11],0,[],[],4,[9212 209 12573 16900],8,5,[]
326,1,[2761],[3202],[0 1357],[1063 670],[4 26 11],0,[],[],1,[13921],17,2,[]
340,4,[571 1915 1896 2624],[1142 2966 4912 361],[326 293 293],[918 770 553],[0 21 10 14],1,[859],[518],3,[15858 17773 16919],5,6,[]
518,2,[287 2685],[2241 4014],[1786 1786],[382 382],[8 5 13 12 23 5 13 11],0,[],[],4,[12087 12069 8271 6139],7,1,[]
519,1,[1497],[4605],[1357 1357],[666 666],[13 12 26 11],0,[],[],3,[8201 10700 3721],0,0,[]
328,0,[],[],[263 1255],[1301 787],[12 18],0,[],[],3,[8545 7544 8538],10,22,[]
418,4,[2108 289 2905 0],[1325 2866 5544 5364],[1357 1358],[1046 771],[5 13 12 24],0,[],[],2,[9428 8000],22,5,[232]
418,0,[],[],[1358 1358],[1342 737],[7 24],0,[],[],1,[9667],18,8,[737]
517,0,[],[],[790 1288],[1314 1178],[13 12 18],0,[],[],3,[2972 15189 3221],47,19,[665]
418,1,[2613],[1821],[1549 1430],[80 427],[7 26 11],2,[845 88],[19 953],3,[1108 8302 6810],24,9,[737]
328,1,[3027],[5436],[1357 1324],[213 213],[13 12 26 11],0,[],[],2,[12783 2253],10,6,[]
342,1,[1979],[1748],[1083 1625],[666 666],[13 12 26 11],1,[453],[1397],3,[10047 2612 878],19,20,[170]
328,1,[78],[1242],[1255 1255 1346],[1346 1321 784],[0 25 24],0,[],[],2,[207 5656],43,6,[]
516,3,[243 1491 0],[4626 226 226],[0 1357 1357],[750 31 1321],[13 12 25 24],0,[],[],1,[1822],11,15,[]
519,0,[],[],[1622 1336],[573 1147],[12 18],0,[],[],2,[15862 250],17,12,[]
328,0,[],[],[1265 1265 1265],[1321 475 1321],[12 25 24],0,[],[],2,[9600 1973],24,5,[624]
516,1,[2284],[3930],[1357 1357],[573 573],[12 24],0,[],[],2,[15268 11834],2,2,[88]
328,0,[],[],[263 1255],[1321 83],[12 21],0,[],[],2,[13977 12364],8,5,[]
328,0,[],[],[1252 1305],[1314 1314],[13 12 26 11],1,[0],[2437],4,[10882 1389 15195 18318],22,7,[]
417,3,[817 2155 1003],[2810 43 2940],[481 1127 0],[966 966 124],[12 25 14],0,[],[],0,[],8,6,[]
516,2,[0 0],[3070 1089],[1538 1265],[465 984],[13 12 18],0,[],[],4,[2775 18203 4189 10310],23,15,[550]
517,2,[2438 2028],[267 4009],[881 1792 0],[784 388 784],[12 19 24],0,[],[],2,[15108 14701],0,10,[]
328,0,[],[],[790 1286],[726 323],[13 12 18],0,[],[],3,[17294 11332 13082],26,6,[]
328,0,[],[],[1286 1288],[679 787],[12 18],0,[],[],2,[5635 8866],22,15,[]
418,0,[],[],[1358 1287],[83 204],[7 18],0,[],[],2,[15449 9706],16,9,[737]
340,3,[218 1915 1915],[155 2688 5283],[1202 1447],[660 1173],[7 21],0,[],[],2,[14908 3642],12,1,[]
516,1,[287],[2984],[221 1357],[638 638],[13 12 26 11],0,[],[],2,[13152 6102],5,6,[694]
344,3,[1947 2118 240],[226 5322 153],[660 1565],[489 1105],[7 21],2,[337 337],[2400 2683],2,[12755 2786],4,0,[]
418,0,[],[],[511 1778],[495 495],[12 24],0,[],[],2,[9764 15085],33,7,[741]
328,0,[],[],[0 1345],[978 978],[8 5 13 12 23 5 13 11],1,[564],[2108],1,[8820],25,13,[]
418,1,[1118],[267],[1908 0],[790 790],[4 18],2,[196 196],[1933 1772],4,[15622 15619 16093 2841],54,4,[770]
418,0,[],[],[1596 1898 1326],[750 750 750],[13 12 26 12 26 11],0,[],[],2,[3525 546],25,12,[737]
328,1,[2139],[1843],[1357 1263],[696 1087],[13 12 24],0,[],[],5,[17491 7334 17490 7201 4622],13,7,[]
516,1,[173],[5393],[1357 1248],[503 495],[5 13 12 24],0,[],[],2,[9357 11897],18,16,[88]
328,1,[1892],[36],[2101 1357],[862 1109],[0 26 11],5,[960 953 20 20 0],[1940 1940 2435 991 2435],7,[17648 15911 4356 3997 16625 14871 4118],58,4,[]
412,5,[1358 90 2262 1168 2088],[70 2577 2823 4732 2733],[27],[140],[3],1,[534],[2580],0,[],21,8,[280]
519,2,[287 2700],[927 875],[1255 1336],[250 1103],[8 5 13 12 18],0,[],[],4,[8045 5785 8147 8402],6,6,[]
418,0,[],[],[1628 1265],[1321 236],[12 18],0,[],[],3,[1459 6074 7172],19,17,[744]
519,0,[],[],[0 1279],[750 544],[13 12 24],0,[],[],3,[4305 4304 4302],9,10,[88]
412,4,[1034 2500 145 1769],[177 3769 4910 3185],[398 481],[454 1027],[7 24],0,[],[],1,[1504],9,4,[]
517,2,[1497 1497],[4616 2452],[2053 2053 1600 1600],[382 382 382 929],[8 5 13 12 23 5 13 12 23 5 13 12 14],0,[],[],1,[1363],0,7,[]
418,1,[2603],[2134],[1358 1243],[559 1109],[8 5 13 12 26 11],0,[],[],2,[5160 8977],0,4,[718]
418,0,[],[],[1357 1357],[750 992],[13 12 24],0,[],[],2,[17545 5351],13,16,[]
328,0,[],[],[1255 1265],[631 631],[12 24],0,[],[],4,[17063 8714 12537 14554],30,8,[]
518,0,[],[],[143 1255],[978 670],[8 5 13 12 26 11],0,[],[],2,[15153 6563],6,10,[]
519,1,[308],[3339],[1357 1336],[1046 1046],[5 13 12 20 13 11],0,[],[],2,[9854 2044],5,0,[]
328,0,[],[],[1255 1357],[80 467],[7 24],0,[],[],2,[8939 8554],6,0,[]
328,0,[],[],[1252 1265],[1321 1344],[12 18],0,[],[],4,[5812 8862 7375 9554],25,10,[610]
519,3,[1491 1568 1491],[1320 2216 4728],[1358 1358],[726 726],[13 12 26 11],0,[],[],5,[5487 10012 806 15392 6861],0,12,[]
519,0,[],[],[1346],[1301],[11],0,[],[],5,[14834 12613 17412 1540 15757],11,16,[]
418,0,[],[],[1358 1332],[203 302],[12 18],0,[],[],1,[15230],32,4,[737]
519,0,[],[],[171 1515],[1063 587],[4 24],0,[],[],2,[3871 13240],1,3,[]
516,4,[0 287 2387 1692],[4879 1574 2452 3546],[881 881 1305 0],[592 591 591 565],[0 26 12 26 12 14],0,[],[],3,[10210 13456 2882],17,14,[]
331,1,[1134],[4053],[1795 1326],[1119 822],[13 12 26 11],0,[],[],1,[5184],25,7,[207]
418,0,[],[],[1551 1265 0],[80 495 80],[7 25 21],0,[],[],1,[13680],5,2,[]
342,0,[],[],[1357 1357 0],[750 750 750],[13 12 26 12 26 11],0,[],[],2,[1060 8291],28,9,[]
517,0,[],[],[1358 1358],[1245 331],[12 18],3,[356 459 906],[2740 806 807],3,[2369 2660 5525],33,20,[]
516,1,[0],[4285],[881 1336],[427 427],[13 12 26 11],0,[],[],0,[],10,7,[]
430,3,[0 0 0],[1751 1740 1754],[1671 932],[423 427],[0 26 11],4,[367 223 539 379],[920 954 956 957],0,[],0,15,[386]
328,2,[1691 0],[1046 3971],[1293 1293],[203 295],[12 18],0,[],[],1,[3452],43,7,[633]
328,0,[],[],[1390 1265],[495 495],[12 24],0,[],[],3,[2700 6888 11663],23,8,[624]
517,1,[0],[1379],[1890 1486],[21 726],[13 12 26 11],0,[],[],5,[11489 9828 13823 13824 13816],2,15,[]
328,0,[],[],[281 1255],[784 226],[12 18],0,[],[],1,[9573],3,1,[]
516,0,[],[],[1357 1358],[1245 523],[12 18],0,[],[],5,[7439 7027 12916 6032 9478],9,17,[694]
517,0,[],[],[1286 1287],[1149 1149],[12 24],0,[],[],3,[3418 6933 2894],22,7,[]
412,1,[948],[3428],[947 921 1640],[874 877 874],[4 19 18],2,[0 420],[356 2984],0,[],14,3,[]
518,1,[304],[2452],[1538 1538 1265],[587 587 742],[12 25 18],0,[],[],1,[5090],25,0,[88]
331,0,[],[],[1255 1255],[203 203],[12 24],0,[],[],3,[3611 15135 3530],28,8,[550]
332,1,[2478],[5083],[739 739 1336],[594 591 1085],[0 26 12 26 11],0,[],[],5,[12235 6986 4046 9440 4232],22,9,[]
412,1,[1696],[1592],[1406 1407],[1025 1025],[13 12 26 11],1,[0],[2248],0,[],3,0,[212]
519,0,[],[],[1358 1358],[726 726],[13 12 26 11],0,[],[],1,[6856],5,10,[88]
328,0,[],[],[1255 1265],[784 346],[12 18],4,[20 20 20 826],[1764 823 94 823],3,[16866 16154 15727],8,11,[624]
406,0,[],[],[1890 1890],[822 822],[13 12 26 11],0,[],[],1,[26],22,0,[]
418,0,[],[],[1972 1315],[978 213],[8 5 13 12 26 11],0,[],[],4,[17581 13981 14083 17699],0,0,[638]
516,0,[],[],[171 116],[382 767],[8 5 13 12 24],0,[],[],3,[14900 12535 12912],5,7,[]
518,3,[789 641 1588],[5194 4986 4327],[2100 0],[717 1109],[8 5 13 12 26 11],1,[0],[2422],0,[],20,7,[]
430,2,[2015 2016],[2241 2651],[397 401],[1046 1304],[5 13 12 24],2,[20 156],[2809 2801],2,[10965 3441],0,19,[]
517,1,[649],[2071],[1358 1357],[1342 999],[7 18],0,[],[],3,[9774 6558 17051],7,7,[]
519,0,[],[],[0 293],[1321 1342],[12 21],0,[],[],3,[3778 9862 15409],6,4,[480]
328,1,[2696],[132],[1358],[45],[11],0,[],[],2,[5283 8906],39,4,[605]
328,0,[],[],[1998 2043 935],[1368 1368 666],[0 27 26 11],2,[211 211],[481 2611],3,[7650 9551 12670],7,6,[624]
518,2,[533 2256],[2199 4014],[1357 1357],[544 544],[12 24],3,[576 211 639],[15 219 15],2,[14145 2802],18,14,[]
516,0,[],[],[],[],[],0,[],[],0,[],0,9,[]
517,2,[2534 2534],[3070 3339],[356 356 356 293],[979 978 773 250],[0 23 5 13 12 27 23 5 13 11],1,[488],[2118],3,[6034 12775 8744],0,19,[]
328,0,[],[],[1918],[352],[13 11],0,[],[],1,[8050],10,3,[]
328,0,[],[],[1357 293],[679 679],[12 24],0,[],[],1,[6041],56,2,[550]
519,2,[287 287],[5366 1027],[1538 1255],[1046 631],[5 13 12 24],0,[],[],0,[],7,13,[]
328,0,[],[],[0],[573],[11],0,[],[],6,[16831 16650 18260 18057 18342 16470],6,0,[]
418,0,[],[],[965 1265 0],[1321 312 1321],[12 19 24],0,[],[],2,[665 8988],46,5,[]
418,0,[],[],[1358],[1030],[11],0,[],[],2,[8988 11636],32,0,[244]
418,1,[374],[412],[1357 1275],[726 314],[13 12 24],0,[],[],2,[3353 16503],12,7,[737]
519,1,[1276],[2100],[1551 1330],[573 203],[12 24],0,[],[],3,[2855 7352 3028],30,10,[]
342,1,[688],[4754],[2053 2053 2053],[80 300 80],[7 19 21],0,[],[],3,[4363 2516 1149],8,21,[121]
324,1,[449],[2190],[1357 1358],[1321 1321],[12 24],0,[],[],6,[16144 5792 16142 211 16143 212],6,7,[]
342,0,[],[],[290 291],[21 1114],[13 12 18],0,[],[],1,[10604],14,6,[141]
418,0,[],[],[1350 1265 1265],[80 120 155],[7 19 21],0,[],[],2,[3259 15713],5,9,[550]
430,3,[2267 2969 2025],[412 3070 4675],[397 1227],[767 767],[12 24],2,[430 514],[1546 916],2,[13029 4695],7,8,[]
