岗位ID,工作经历数量,社会经历数量,项目数量,技能数量,荣誉数量
427,3,2,0,0,19
418,0,0,3,22,9
418,1,1,1,21,8
518,0,0,2,14,19
516,1,0,1,0,15
418,0,0,2,14,4
516,1,0,3,6,13
328,0,0,0,31,16
331,0,2,2,23,7
342,3,4,4,18,8
418,3,2,0,17,2
519,2,1,1,7,9
519,2,0,0,9,10
418,1,1,1,12,4
517,1,2,0,11,7
418,0,0,2,53,11
328,1,0,5,0,26
517,0,0,3,31,13
519,1,2,0,12,6
412,0,2,0,13,0
519,0,0,5,10,13
326,0,0,3,22,9
517,2,1,5,7,18
328,1,0,2,71,6
519,0,0,2,22,1
519,0,0,2,5,26
519,2,0,0,3,10
519,2,0,0,0,7
517,0,1,3,45,12
418,0,0,2,51,5
516,1,0,2,7,19
418,1,0,2,27,2
328,1,0,4,17,8
517,0,1,2,17,13
331,0,0,2,45,9
412,1,3,0,7,6
516,0,0,3,43,25
418,0,0,2,16,6
331,1,0,3,21,14
519,1,0,3,31,0
418,0,0,2,9,8
430,2,3,0,3,5
412,2,1,0,10,10
412,3,5,3,9,17
328,0,0,2,41,1
412,0,2,0,13,10
516,0,0,2,73,11
412,2,3,0,12,4
412,3,0,0,6,5
519,0,0,3,11,4
418,1,0,4,38,14
326,1,0,3,2,5
412,1,0,3,4,2
427,4,2,0,0,11
328,1,0,1,40,15
340,3,2,1,9,0
328,0,0,2,32,10
418,2,0,1,15,6
418,0,0,2,14,0
517,1,0,3,11,2
517,0,0,2,10,8
519,0,0,2,40,6
418,0,0,2,25,0
516,0,0,1,15,14
412,1,1,2,8,6
418,2,0,4,27,2
332,2,1,3,40,12
328,0,0,4,9,2
412,0,1,3,18,12
412,2,3,2,4,2
517,0,0,4,36,21
517,0,1,4,9,7
324,1,0,4,7,8
518,0,0,2,12,11
340,2,2,0,14,17
430,1,2,0,2,5
328,0,0,3,23,15
516,2,3,3,23,8
519,0,0,2,5,1
328,1,0,1,23,8
328,0,0,1,16,4
418,0,0,2,31,9
328,0,0,3,26,4
518,0,0,4,13,6
342,1,2,1,11,5
328,0,1,0,6,5
517,0,0,3,4,6
412,3,1,0,1,2
328,0,0,2,16,6
516,0,0,1,11,2
517,1,0,0,15,8
516,3,1,0,12,8
328,2,2,3,8,4
340,3,2,5,10,8
517,1,0,2,5,8
418,1,0,1,19,3
328,0,2,3,8,3
516,1,0,0,9,4
418,0,0,4,20,8
412,3,2,0,4,11
517,0,2,2,20,11
340,2,0,0,11,0
516,2,0,6,5,10
332,0,0,4,27,4
332,1,0,2,13,6
342,0,0,1,30,2
328,0,0,3,26,9
328,0,0,3,15,5
417,3,2,2,5,4
418,3,0,3,51,16
328,2,0,2,25,7
347,1,0,2,14,14
518,0,0,3,13,17
418,0,0,1,16,0
406,0,2,4,3,15
412,2,2,0,11,12
412,4,4,5,7,22
417,0,4,3,5,24
519,2,0,1,15,6
518,0,0,3,15,10
427,2,0,2,4,4
519,0,3,0,13,24
342,0,0,2,18,2
328,0,0,1,31,10
519,0,0,3,15,6
516,1,0,3,21,2
427,4,1,5,12,14
418,1,0,2,12,10
331,1,3,4,25,19
328,1,1,4,27,8
412,3,1,0,4,0
519,0,0,3,15,13
516,1,0,3,16,4
347,1,0,3,14,20
412,1,1,0,7,6
342,2,0,3,6,14
417,2,1,1,15,13
328,0,0,2,7,8
519,0,0,2,0,12
418,0,0,2,28,11
406,0,1,2,6,3
342,0,0,2,13,5
519,2,0,2,5,17
418,0,0,3,16,13
412,0,3,0,5,22
516,0,1,2,0,11
412,5,0,1,8,0
418,2,0,0,24,4
328,0,1,2,9,15
516,0,0,3,7,7
518,2,0,1,22,14
418,0,0,3,28,4
331,0,2,2,40,2
331,1,0,4,15,0
519,1,0,4,23,15
342,0,0,4,18,7
516,0,0,2,6,7
518,1,0,3,13,10
331,1,0,2,16,6
519,0,0,2,7,12
331,0,0,1,18,8
519,1,0,2,14,6
418,0,0,2,13,2
406,2,0,0,26,2
347,3,0,3,0,16
344,5,0,0,17,0
418,0,0,3,27,4
519,0,0,3,2,0
519,0,0,1,10,15
418,0,0,2,25,11
331,2,0,1,13,2
516,1,0,3,11,17
418,0,0,2,27,8
342,0,0,2,31,0
331,1,0,2,23,5
518,1,0,7,3,5
427,4,1,0,4,8
406,0,0,3,32,3
332,0,0,3,24,0
519,1,0,5,0,19
328,0,0,0,38,4
418,0,0,3,24,10
328,0,0,2,18,12
412,2,3,0,3,0
519,0,0,5,9,13
326,1,0,2,15,2
328,0,0,0,22,4
328,1,0,2,16,5
412,3,0,1,13,0
427,0,3,1,3,6
518,3,1,3,6,0
516,1,0,1,9,0
517,1,0,3,21,8
328,0,2,3,17,11
328,0,0,2,51,16
517,0,0,2,13,8
517,0,3,6,0,6
328,1,0,2,30,0
418,0,1,2,10,5
331,0,0,2,22,5
517,1,0,4,15,12
516,0,0,3,19,2
418,0,2,3,17,9
519,0,0,3,7,6
517,0,0,0,0,2
340,0,0,0,0,5
418,0,0,2,32,0
517,0,0,1,12,5
519,1,0,3,10,5
517,0,0,3,10,12
331,0,0,2,19,0
328,1,0,4,32,12
328,3,0,1,51,3
342,0,0,2,41,0
427,1,0,0,12,1
418,2,1,1,13,0
430,3,0,0,0,2
331,0,0,1,18,7
332,0,0,3,19,9
517,1,0,1,10,13
519,1,0,3,13,6
418,0,0,3,44,6
516,1,0,2,25,6
418,0,0,2,28,4
412,1,2,3,6,28
417,2,2,2,16,18
417,1,0,2,6,11
417,3,0,1,0,18
340,3,1,0,6,0
516,2,0,1,21,12
516,1,0,0,0,8
418,0,0,3,23,7
516,5,0,2,7,26
326,0,0,4,8,1
418,0,0,2,20,5
516,1,0,0,16,1
417,2,1,0,8,9
517,2,4,0,13,19
418,0,0,2,13,12
326,0,0,3,21,0
418,0,0,1,36,10
347,3,1,3,25,5
418,1,0,2,14,7
418,0,1,2,17,11
519,1,0,3,27,1
417,4,0,0,6,10
412,2,4,0,4,15
418,0,0,3,36,3
517,0,0,2,6,0
518,0,0,2,34,8
418,0,0,2,31,6
328,0,0,0,43,2
328,2,0,5,28,16
519,0,1,2,6,1
418,1,0,3,0,11
324,1,0,2,9,0
328,0,1,3,5,14
332,0,0,3,18,9
418,1,2,2,43,10
418,0,0,2,34,7
518,0,0,2,13,2
418,0,1,2,20,12
519,3,0,3,4,5
328,1,0,0,9,0
516,2,0,0,0,3
516,1,0,2,19,0
342,2,0,3,5,12
418,0,2,3,23,7
418,1,0,1,53,10
519,0,0,1,0,13
519,2,0,0,44,22
328,1,1,1,10,8
328,0,0,2,24,0
418,0,0,2,26,0
418,2,0,1,21,8
519,1,0,3,0,12
342,3,0,0,20,11
517,2,0,0,8,4
418,0,0,2,38,2
418,0,2,2,22,2
326,0,0,3,20,5
328,0,0,2,12,8
519,0,0,3,19,10
417,3,4,0,9,6
519,0,0,3,7,6
516,0,0,5,0,5
328,1,0,0,31,1
331,0,0,2,19,5
406,2,0,3,7,0
516,0,2,3,5,10
418,1,1,2,7,0
427,3,0,0,7,9
328,0,1,3,7,6
412,2,0,0,13,2
516,1,0,2,13,2
331,1,0,2,36,0
517,1,0,5,8,1
519,0,2,2,10,3
342,3,0,2,12,0
412,3,0,0,17,9
328,0,0,3,20,8
519,1,0,2,8,14
517,2,0,2,15,10
328,0,0,3,15,5
516,0,0,5,0,8
342,0,0,2,29,7
328,1,1,2,29,0
328,2,0,2,24,6
516,0,0,1,8,8
418,0,1,3,44,14
418,1,0,3,24,8
517,2,0,2,6,17
418,1,0,1,19,6
331,0,0,1,22,2
418,0,0,2,17,10
516,1,0,8,21,10
516,1,0,3,25,7
519,1,3,1,10,1
340,3,0,3,7,4
418,0,0,3,54,5
331,0,0,2,21,0
430,3,2,0,3,3
328,0,0,2,40,7
430,3,1,2,7,8
328,4,0,0,0,8
328,0,0,1,30,17
418,2,1,3,3,9
328,0,0,3,54,13
328,2,0,4,4,2
418,0,0,2,27,8
417,1,1,0,8,1
516,1,0,4,17,0
418,0,0,2,14,5
412,3,1,0,25,9
326,1,0,2,45,11
418,2,0,5,24,7
518,1,0,5,8,3
519,0,5,0,23,6
517,0,0,2,17,16
517,1,0,4,10,3
324,0,0,3,14,3
430,3,3,1,4,16
326,1,2,2,4,8
418,0,1,1,24,16
516,1,4,1,7,8
326,1,0,2,7,6
427,3,1,0,0,13
519,1,0,2,13,7
418,1,0,2,75,8
331,0,0,3,10,6
340,2,0,3,4,0
328,1,0,3,22,0
417,2,1,5,24,6
516,2,8,3,13,12
517,0,0,3,2,10
516,1,0,2,0,0
418,0,0,2,43,11
418,0,0,2,22,8
516,2,0,2,2,2
418,0,0,1,19,13
328,0,0,4,37,6
418,3,1,4,21,8
517,0,0,4,15,0
516,1,0,0,7,3
418,0,0,1,28,2
331,1,0,1,20,9
517,2,0,5,19,6
516,0,0,1,26,3
516,1,1,4,19,9
328,2,0,1,26,4
340,2,2,0,5,0
519,2,0,6,0,4
418,0,0,2,29,5
418,0,0,2,20,2
406,0,0,4,5,13
417,3,1,1,5,4
517,0,0,3,15,9
516,1,0,4,20,0
412,1,1,3,12,16
328,1,0,3,15,4
328,0,0,2,18,4
328,0,0,2,24,11
328,2,0,1,11,10
412,2,4,0,6,9
430,2,2,2,5,10
418,1,2,2,14,14
418,0,0,4,22,10
418,1,0,1,2,5
519,0,0,3,11,17
328,0,0,0,23,11
332,0,0,3,19,32
518,1,0,0,10,13
518,0,0,3,7,0
328,2,0,2,5,4
519,3,0,1,10,25
516,1,0,2,14,0
516,0,0,1,46,10
342,0,2,2,11,4
427,2,1,0,15,1
328,0,2,2,30,9
517,0,0,3,0,3
328,0,0,2,35,5
517,0,0,2,11,2
516,1,0,1,4,1
418,1,0,2,21,7
328,0,0,1,22,7
418,0,0,2,23,4
517,1,0,2,4,3
517,0,0,0,29,11
412,3,0,0,4,18
519,1,0,0,15,8
418,1,0,2,22,2
430,2,2,0,0,12
342,0,0,0,47,4
430,4,2,1,6,8
517,0,0,3,10,12
517,0,0,3,23,8
418,1,0,2,23,0
417,3,0,0,6,4
519,1,0,2,5,4
324,0,0,3,10,9
418,0,0,1,14,2
331,1,0,3,15,0
418,1,0,2,14,4
519,1,0,3,13,5
417,3,1,2,4,0
418,0,0,3,51,4
516,4,2,5,9,11
331,1,0,2,25,7
517,2,0,0,10,2
417,2,1,0,10,3
412,1,0,3,7,20
335,3,0,5,47,39
418,0,0,2,22,6
328,1,0,1,34,5
418,0,0,0,19,6
342,2,2,0,11,2
328,1,2,3,23,4
328,1,0,4,21,15
417,2,0,0,12,14
516,1,0,2,14,5
427,2,0,0,10,8
328,0,0,2,5,6
418,1,0,2,38,13
328,0,0,0,28,0
417,2,0,0,16,6
332,0,0,3,0,28
418,0,0,1,34,0
516,2,0,3,40,0
331,0,0,3,29,14
328,0,0,3,18,8
412,3,0,0,7,1
418,0,0,2,22,11
328,0,0,4,24,6
418,1,1,0,26,8
412,0,0,0,12,4
418,0,1,2,17,5
332,0,0,3,32,12
516,3,0,3,5,6
418,0,1,2,19,7
517,1,0,4,19,0
332,0,0,2,17,8
418,2,0,4,15,11
418,1,0,2,51,10
342,2,1,0,12,15
328,0,0,1,37,2
519,0,1,3,11,7
517,0,0,3,9,1
331,2,0,1,41,6
324,1,0,2,15,7
331,1,0,3,0,0
519,2,0,3,22,7
519,1,2,6,3,15
328,2,0,3,7,0
518,0,0,2,21,15
516,2,0,1,0,7
519,3,0,3,5,12
418,0,0,3,22,11
344,1,2,0,6,12
331,0,1,1,23,9
331,1,0,1,13,11
324,0,0,5,10,11
518,0,0,4,10,0
517,0,0,1,12,8
516,1,0,1,1,5
430,2,0,1,10,7
517,2,0,1,5,10
331,0,0,2,6,0
516,0,0,0,18,8
418,2,0,2,18,0
331,1,0,1,11,6
328,0,0,3,33,9
417,3,1,0,4,4
328,0,2,3,69,13
418,0,1,2,40,9
418,1,1,4,2,3
331,1,0,3,14,0
519,1,1,0,10,19
519,0,0,3,15,12
412,3,2,0,2,0
519,0,0,3,12,4
516,0,0,4,2,7
412,0,1,0,9,0
328,2,0,0,15,0
519,0,0,3,16,6
517,1,0,3,6,9
328,0,0,2,20,2
519,0,1,3,3,17
517,0,0,2,11,8
427,3,1,0,5,3
427,2,1,1,5,15
517,0,0,2,31,8
418,0,0,2,16,6
417,3,1,3,14,5
412,3,0,5,8,4
328,1,0,1,10,16
331,0,0,3,17,7
517,0,0,2,33,13
328,1,0,1,11,0
519,0,0,5,3,0
519,1,0,2,2,4
340,2,0,2,14,0
326,0,0,4,0,15
418,0,2,1,14,8
418,2,0,1,18,7
418,0,0,2,11,11
519,1,0,2,22,19
418,0,0,2,18,8
519,0,2,5,14,3
418,0,0,2,20,2
418,0,0,0,21,2
328,0,0,3,31,4
328,0,0,2,0,5
519,3,0,6,23,18
418,1,1,2,10,7
418,2,0,1,18,7
418,4,0,3,10,10
516,0,0,5,12,9
418,0,0,0,29,13
516,0,0,0,0,8
418,2,0,3,27,5
418,0,0,1,20,9
517,0,0,3,16,16
516,5,0,2,23,13
418,1,0,2,23,5
412,0,2,0,9,6
516,0,0,4,4,15
417,2,4,0,6,23
516,1,0,1,17,3
417,2,1,0,11,12
418,0,0,2,40,4
430,1,1,0,4,0
418,1,0,2,18,10
517,2,0,2,19,0
328,2,0,1,11,8
331,0,0,2,11,4
516,1,0,3,4,6
519,0,0,1,19,0
519,1,0,3,19,9
418,2,0,3,8,8
519,1,0,2,3,15
418,1,0,1,14,0
340,5,0,3,12,1
417,3,0,2,9,11
418,0,0,3,12,4
518,0,0,0,24,4
328,0,0,3,7,5
517,3,0,1,0,9
427,2,2,3,5,3
328,0,0,2,23,8
328,0,0,3,12,23
516,1,0,0,15,14
342,0,2,2,15,7
519,0,0,2,9,16
418,2,0,3,30,8
519,2,0,3,4,8
517,2,0,1,34,2
518,1,0,0,0,10
517,0,0,4,17,6
418,0,0,1,18,0
418,0,0,2,25,0
418,0,0,3,10,7
332,0,0,2,29,10
418,0,0,2,16,2
516,0,0,4,2,7
516,0,0,3,7,6
418,0,0,3,41,1
517,0,0,2,14,11
328,1,0,1,9,0
328,2,0,3,26,6
517,0,0,3,9,8
332,2,1,5,27,1
517,1,0,1,26,6
430,2,2,0,3,13
417,0,2,4,16,14
328,0,0,4,10,1
430,3,1,2,6,5
328,0,0,2,21,0
412,4,2,2,4,6
516,1,0,4,5,2
519,1,0,4,8,24
412,0,0,3,5,19
328,0,0,4,8,8
412,2,2,1,12,12
412,3,0,0,11,19
328,1,0,2,21,0
418,1,0,0,16,3
412,0,2,4,0,7
518,0,0,5,12,4
328,0,0,1,6,7
328,0,0,2,55,12
516,1,0,1,0,15
406,0,2,5,0,6
335,0,1,3,11,13
328,0,0,3,14,2
342,0,0,3,30,4
331,1,0,4,22,11
518,1,0,5,0,31
518,1,0,2,19,0
517,1,0,4,8,3
430,3,2,0,10,12
518,2,0,2,10,17
418,1,0,2,22,6
418,0,0,2,43,2
406,0,0,3,14,10
519,0,0,4,22,18
328,1,0,3,12,7
418,1,0,1,8,11
412,1,3,0,2,7
418,1,0,2,12,7
516,0,0,0,11,4
331,0,0,6,16,14
418,3,0,2,20,13
417,4,2,0,10,6
517,0,0,4,1,15
328,0,1,2,16,4
519,0,0,4,21,17
342,1,0,0,11,15
328,2,0,1,12,4
344,3,2,2,7,0
519,2,1,3,12,5
418,0,0,3,20,0
517,1,0,3,27,9
519,1,0,3,12,19
328,0,0,0,7,20
342,1,0,3,8,9
328,0,0,4,6,2
328,1,0,2,18,3
430,4,0,0,5,9
519,1,0,3,3,8
418,0,0,2,15,6
328,0,0,3,49,3
342,2,3,2,11,17
516,1,0,3,2,4
518,0,3,3,10,13
519,1,0,3,23,3
517,0,0,3,10,1
331,0,0,0,25,8
406,1,0,3,12,8
418,1,0,1,22,2
418,0,0,2,24,6
331,0,0,1,28,8
519,1,0,3,10,5
340,1,2,3,8,2
517,2,2,1,2,6
412,5,0,0,15,0
328,0,3,3,14,9
418,1,0,4,28,10
342,3,0,1,10,13
516,1,1,1,3,20
335,0,2,2,4,88
516,2,0,5,29,49
328,1,0,3,4,0
331,1,2,1,9,6
418,0,1,3,10,12
517,2,0,0,6,3
418,0,0,3,15,11
518,0,3,3,6,8
517,0,0,2,11,7
344,3,3,0,4,9
340,5,0,0,5,2
328,1,0,1,12,4
417,3,2,1,7,0
418,2,0,3,37,13
331,0,0,2,32,15
519,0,0,4,11,6
418,0,0,3,13,2
328,2,0,0,17,7
418,1,1,2,43,4
406,2,1,2,2,9
519,0,0,3,16,2
328,0,0,3,38,13
430,3,4,1,0,13
418,0,0,0,38,4
517,2,0,1,32,4
331,1,0,1,28,7
331,1,0,1,19,7
412,0,0,0,24,24
344,4,0,3,8,8
417,3,0,1,6,22
519,0,0,1,17,23
518,1,0,2,7,9
516,0,0,4,14,10
328,1,0,2,40,8
